connection_from,connection_to
28,0
1,0
154,0
127,0
108,1
253,1
128,1
129,2
40,2
166,2
3,2
94,3
130,3
4,3
84,4
131,4
210,4
5,4
158,5
6,5
132,5
32,5
133,6
91,7
217,7
8,7
134,7
164,8
38,8
135,8
9,8
136,9
82,9
208,9
10,9
137,10
30,10
11,10
156,10
138,11
75,12
125,12
139,12
14,13
140,13
83,13
209,13
39,14
15,14
165,14
141,14
106,15
218,15
92,15
142,15
143,16
60,16
17,16
186,16
18,17
144,17
43,17
169,17
19,18
174,18
145,18
48,18
146,19
44,20
170,20
147,20
21,20
187,21
22,21
61,21
148,21
237,22
55,22
181,22
149,22
150,23
252,23
24,23
201,23
52,24
151,24
118,24
243,24
152,25
76,25
202,25
232,25
27,26
153,26
80,26
206,26
28,27
154,27
127,27
1,27
155,28
30,29
11,29
156,29
137,29
157,30
13,30
31,30
32,31
158,31
6,31
132,31
159,32
34,33
185,33
59,33
160,33
168,34
42,34
35,34
161,34
162,35
47,35
193,36
163,36
68,36
37,36
164,37
135,37
9,37
38,37
39,38
15,38
141,38
165,38
40,39
166,39
3,39
129,39
167,40
35,41
161,41
168,41
42,41
169,42
18,42
43,42
144,42
170,43
147,43
21,43
44,43
171,44
87,44
213,44
45,44
172,45
46,45
198,45
72,45
120,46
246,46
173,46
145,47
48,47
19,47
174,47
20,48
49,48
175,48
176,49
214,49
88,49
50,49
177,50
51,50
199,50
67,50
178,51
121,51
247,51
53,52
70,52
179,52
251,52
244,53
54,53
180,53
85,53
149,54
237,54
55,54
181,54
16,55
233,55
56,55
182,55
33,56
183,56
224,56
57,56
184,57
160,58
34,58
185,58
59,58
60,59
186,59
17,59
143,59
22,60
148,60
61,60
187,60
188,61
86,61
62,61
212,61
197,62
71,62
189,62
63,62
119,63
190,63
245,63
64,63
123,64
191,64
74,64
200,64
66,65
192,65
81,65
101,65
37,66
193,66
163,66
68,66
194,67
89,68
195,68
112,68
69,68
196,69
124,69
113,69
242,69
197,70
189,70
63,70
71,70
198,71
72,71
46,71
172,71
51,72
67,72
177,72
199,72
123,73
191,73
74,73
200,73
24,74
150,74
252,74
201,74
202,75
232,75
152,75
76,75
203,76
77,76
229,76
98,76
78,77
231,77
204,77
126,77
205,78
153,79
27,79
80,79
206,79
207,80
10,81
136,81
82,81
208,81
209,82
14,82
140,82
83,82
5,83
131,83
210,83
84,83
211,84
86,85
212,85
62,85
188,85
45,86
171,86
87,86
213,86
176,87
214,87
88,87
50,87
215,88
216,89
223,89
90,89
91,90
217,90
8,90
134,90
106,91
218,91
92,91
142,91
93,92
219,92
97,92
2,92
220,93
221,94
96,95
117,95
115,95
222,95
223,96
90,96
216,96
57,97
183,97
33,97
235,98
79,98
109,98
230,99
100,99
104,99
228,100
107,100
102,100
107,101
227,101
102,101
98,102
203,102
77,102
100,103
226,103
104,103
78,104
204,104
126,104
152,105
76,105
202,105
16,106
182,106
56,106
36,107
105,107
111,107
225,108
79,108
109,108
122,109
25,109
149,110
55,110
181,110
114,111
239,111
238,112
114,112
241,113
116,113
116,114
240,114
196,115
113,115
124,115
52,116
118,116
151,116
54,117
180,117
85,117
64,118
119,118
190,118
120,119
173,119
178,120
121,120
26,122
70,124
53,124
179,124
201,125
150,125
24,125
108,126
128,126
0,127
154,128
127,128
28,128
1,128
2,129
93,129
219,129
97,129
166,130
3,130
129,130
40,130
4,131
130,131
94,131
5,132
84,132
131,132
210,132
132,133
32,133
158,133
6,133
95,134
110,134
7,134
134,135
91,135
217,135
8,135
135,136
9,136
164,136
38,136
208,137
10,137
136,137
82,137
30,138
11,138
156,138
137,138
12,139
31,140
157,140
13,140
140,141
83,141
209,141
14,141
15,142
165,142
