jamsegment,default_speed,speed,period,jam_segment_name,timeOneDay,day_index,jamPath,jamOd,jam_influ_path,jam_influ_segment
87,8.33,0.833,1.0,-297323726#3,0,1,"(21, 29, 43, 46, 56, 98)","(25, 28, 22)","(2, 98, 38, 43, 109, 46, 79, 81, 83, 21, 56, 29, 95)","(17, 18, 148, 149, 34, 42, 43, 44, 45, 46, 48, 49, 50, 51, 177, 181, 58, 59, 67, 70, 71, 72, 85, 86, 87, 88, 222, 223, 110, 115, 117, 120, 121, 124)"
98,9.72,1.7496,1.5,-gneE10,60,1,"(23, 45, 51, 55, 60, 89, 96)","(2, 26, 21)","(96, 5, 101, 105, 45, 51, 20, 55, 23, 89, 60, 93, 94)","(128, 137, 138, 12, 152, 26, 27, 156, 28, 65, 75, 76, 79, 208, 80, 98, 227, 100, 101, 102, 103, 104, 99, 235, 236, 122, 126, 127)"
78,5.89,0.8835,1.5,-297322125#9,120,1,"(40, 85, 86)","(12,)","(40, 85, 86)","(1, 225, 235, 77, 78, 207, 206, 27, 253)"
55,11.11,2.222,2.0,-166121762#3,180,1,"(4, 30, 47, 53, 82, 84, 97, 108, 111, 113, 116)","(0, 1, 27, 13)","(97, 65, 4, 71, 72, 108, 111, 16, 17, 113, 82, 84, 116, 53, 47, 30)","(16, 144, 20, 21, 22, 23, 24, 160, 33, 161, 169, 170, 171, 172, 173, 176, 52, 53, 54, 55, 56, 185, 57, 186, 187, 188, 189, 191, 190, 197, 74, 212, 213, 214, 215, 89, 90, 91, 92, 222, 97, 110, 239, 240, 241, 242, 243, 245, 119, 250)"
157,6.94,0.694,1.0,165966993#2,240,1,"(77,)","(23,)","(10, 77)","(5, 10, 11, 209, 210, 211, 157, 158)"
188,6.94,1.041,1.5,166121763#7,300,1,"(17, 71)","(0, 13)","(65, 4, 71, 108, 111, 16, 17, 113, 47)","(144, 16, 24, 33, 161, 169, 170, 171, 172, 173, 52, 53, 54, 55, 56, 185, 186, 187, 188, 189, 190, 191, 197, 74, 245, 119, 250)"
58,9.72,0.7776,2.0,-166121763#4,360,1,"(7, 33, 38, 56, 58, 79, 81, 83, 98)","(28, 6)","(33, 98, 38, 7, 79, 81, 83, 56, 58)","(143, 17, 18, 160, 34, 42, 43, 44, 45, 48, 49, 50, 179, 180, 181, 182, 183, 58, 59, 60, 61, 62, 63, 64, 67, 72, 87, 118, 123)"
243,11.11,1.111,2.0,gneE39,420,1,"(1, 3, 11, 50, 53, 72, 102, 104)","(8, 10, 27)","(1, 3, 11, 12, 14, 19, 26, 31, 41, 44, 50, 53, 67, 70, 72, 82, 97, 102, 104, 106, 107)","(16, 151, 24, 23, 160, 163, 173, 46, 178, 52, 53, 54, 55, 56, 57, 186, 190, 192, 195, 197, 198, 199, 75, 76, 77, 89, 90, 91, 92, 222, 97, 226, 227, 228, 229, 103, 232, 231, 234, 238, 239, 110, 241, 113, 243, 242, 245, 246, 247, 248, 240, 251, 252)"
214,8.33,1.2495,2.0,297323726#3,480,1,"(18, 30, 116)","(1, 14)","(99, 18, 116, 84, 30, 62)","(145, 20, 21, 22, 168, 169, 170, 171, 172, 175, 176, 177, 54, 55, 194, 199, 212, 213, 214, 215)"
62,8.33,1.666,1.5,-166121763#8,540,1,"(33,)","(6,)","(33, 58, 7)","(64, 160, 59, 143, 179, 180, 181, 118, 182, 183, 58, 123, 60, 61, 62, 63)"
13,8.33,1.2495,1.0,-141984443#0,600,1,"(24, 28, 37, 69, 73, 80, 90, 112, 114, 117, 119)","(9, 18, 15)","(32, 69, 37, 73, 13, 48, 80, 112, 114, 117, 119, 88, 24, 90, 28)","(129, 130, 131, 132, 133, 135, 136, 13, 14, 15, 16, 17, 18, 19, 158, 159, 33, 34, 35, 39, 40, 169, 42, 47, 183, 59, 209, 210, 83, 91, 92, 93, 97, 106)"
182,11.11,1.6665,1.0,166121762#3,660,1,"(7, 34, 49, 58, 59, 91, 118)","(19, 4, 6)","(64, 33, 34, 68, 6, 7, 91, 15, 49, 118, 58, 59)","(143, 150, 151, 160, 179, 180, 181, 182, 183, 184, 56, 58, 59, 60, 61, 62, 63, 64, 74, 216, 217, 218, 219, 95, 224, 233, 237, 112, 113, 114, 115, 116, 118, 123)"
5,8.33,0.6664,1.5,-119086808#4,0,2,"(22, 27, 77)","(24, 23)","(66, 39, 10, 77, 54, 22, 27)","(2, 3, 4, 5, 6, 10, 11, 140, 141, 142, 157, 158, 31, 166, 39, 209, 210, 211, 219, 220)"
99,5.56,1.112,2.0,-gneE11,60,2,"(23, 89, 94)","(2,)","(89, 94, 23)","(128, 98, 99, 100, 102, 104, 235, 79, 27, 28, 126)"
213,8.33,1.666,1.0,297323726#2,120,2,"(30,)","(1,)","(116, 84, 30)","(171, 176, 20, 21, 214, 22, 55, 54, 215, 212, 213)"
181,9.81,1.4715,1.0,166121762#2,180,2,"(7, 46, 58, 59, 91, 118)","(19, 4, 6, 22)","(64, 33, 34, 68, 6, 7, 91, 43, 46, 15, 49, 118, 58, 59, 29, 95)","(143, 148, 149, 150, 151, 160, 44, 177, 179, 180, 181, 182, 183, 184, 56, 58, 59, 60, 61, 62, 63, 64, 70, 71, 72, 74, 85, 86, 87, 216, 217, 218, 219, 88, 222, 95, 224, 223, 233, 237, 110, 112, 113, 114, 115, 116, 117, 118, 123, 124)"
145,11.11,1.6665,1.5,141984443#8,240,2,"(9, 52, 57, 63, 99)","(16, 14)","(99, 9, 18, 52, 57, 62, 63)","(8, 141, 142, 143, 144, 145, 160, 161, 38, 168, 169, 170, 171, 172, 175, 176, 177, 56, 194, 199, 214, 218, 219, 224, 233)"
132,8.33,1.2495,1.0,119086808#4,300,2,"(13, 32, 48, 88)","(9, 15)","(32, 69, 73, 13, 48, 80, 88, 28)","(129, 130, 131, 132, 133, 39, 40, 13, 14, 15, 210, 83, 92, 93, 158, 159)"
151,11.11,0.8888,1.5,154183759#3,360,2,"(6, 12, 15, 25, 26, 34, 44, 49, 59, 64, 68, 91, 107)","(4, 5, 8, 10, 19)","(1, 3, 6, 11, 12, 14, 15, 19, 25, 26, 31, 34, 41, 44, 49, 50, 59, 61, 64, 67, 68, 70, 75, 91, 100, 102, 104, 106, 107, 118)","(139, 105, 233, 150, 151, 163, 173, 46, 111, 178, 179, 52, 180, 182, 183, 184, 56, 181, 190, 192, 64, 195, 197, 198, 199, 202, 75, 76, 205, 203, 204, 77, 74, 216, 217, 218, 219, 95, 224, 226, 227, 228, 100, 229, 103, 232, 231, 234, 107, 102, 237, 238, 239, 112, 241, 114, 243, 116, 245, 246, 247, 248, 113, 115, 251, 252, 118)"
233,11.11,1.9998,2.0,gneE2,420,2,"(9, 63, 64, 68)","(16, 19, 4)","(64, 34, 68, 6, 9, 91, 15, 49, 52, 118, 57, 59, 63)","(8, 141, 142, 143, 144, 145, 150, 151, 160, 161, 38, 169, 179, 180, 181, 182, 183, 56, 184, 64, 74, 216, 217, 218, 219, 95, 224, 233, 237, 112, 113, 114, 115, 116, 118)"
127,5.56,0.834,1.0,119086807#2,480,2,"(5, 51, 55, 60, 93, 96, 105)","(26,)","(96, 5, 105, 51, 55, 60, 93)","(128, 65, 98, 227, 100, 101, 102, 103, 104, 137, 138, 235, 79, 208, 27, 156, 126, 127)"
16,11.11,1.9998,2.0,-141984443#6,540,2,"(24, 35, 37, 47, 87, 97, 108, 114, 117)","(18, 27, 13, 7)","(0, 24, 35, 36, 37, 47, 53, 65, 71, 72, 82, 87, 90, 97, 108, 112, 114, 117, 119)","(129, 130, 131, 135, 136, 13, 14, 15, 16, 17, 18, 19, 144, 23, 24, 160, 33, 34, 35, 169, 42, 170, 171, 172, 173, 47, 52, 53, 54, 183, 55, 57, 186, 59, 56, 187, 188, 191, 189, 190, 197, 209, 83, 89, 90, 91, 92, 222, 97, 106, 110, 239, 240, 241, 242, 243, 245, 119)"
179,9.72,1.944,2.0,166121762#0,600,2,"(7, 58, 59, 91, 118)","(19, 4, 6)","(64, 33, 34, 68, 6, 7, 91, 15, 49, 118, 58, 59)","(143, 150, 151, 160, 179, 180, 181, 182, 183, 184, 56, 58, 59, 60, 61, 62, 63, 64, 74, 216, 217, 218, 219, 95, 224, 233, 237, 112, 113, 114, 115, 116, 118, 123)"
126,8.33,0.833,1.0,-gneE9,660,2,"(5, 93, 94, 105)","(26, 2)","(96, 5, 105, 51, 23, 55, 89, 60, 93, 94)","(128, 137, 138, 27, 28, 156, 65, 79, 208, 98, 227, 100, 101, 102, 103, 104, 99, 235, 126, 127)"
2,8.33,1.2495,2.0,-119086808#1,0,3,"(27, 39, 54)","(24,)","(66, 39, 54, 22, 27)","(2, 3, 4, 5, 6, 166, 39, 140, 141, 142, 210, 219, 220, 31)"
184,8.33,0.6664,1.5,166121762#5,60,3,"(6, 49, 64, 91, 118)","(4,)","(64, 6, 49, 118, 91)","(150, 151, 179, 180, 181, 182, 183, 184, 64, 74, 216, 217, 218, 219, 95, 224, 233, 237, 112, 113, 114, 115, 116, 118)"
181,9.81,0.7848,1.0,166121762#2,120,3,"(7, 46, 58, 59, 91, 118)","(19, 4, 6, 22)","(64, 33, 34, 68, 6, 7, 91, 43, 46, 15, 49, 118, 58, 59, 29, 95)","(143, 148, 149, 150, 151, 160, 44, 177, 179, 180, 181, 182, 183, 184, 56, 58, 59, 60, 61, 62, 63, 64, 70, 71, 72, 74, 85, 86, 87, 216, 217, 218, 219, 88, 222, 95, 224, 223, 233, 237, 110, 112, 113, 114, 115, 116, 117, 118, 123, 124)"
209,8.33,1.666,1.5,297322727#2,180,3,"(10, 37)","(18, 23)","(37, 10, 77, 112, 114, 117, 119, 24, 90)","(129, 130, 131, 5, 135, 136, 10, 11, 13, 14, 15, 16, 17, 18, 19, 157, 158, 33, 34, 35, 169, 42, 47, 183, 59, 209, 210, 211, 83, 91, 97, 106)"
143,11.11,2.222,1.5,141984443#6,240,3,"(7, 9, 52, 63, 115)","(16, 11, 6)","(33, 103, 7, 9, 115, 52, 57, 58, 63)","(8, 141, 142, 143, 144, 145, 160, 161, 38, 41, 42, 169, 179, 180, 181, 182, 183, 56, 57, 58, 59, 60, 61, 62, 63, 64, 218, 219, 224, 233, 118, 123)"
172,8.33,1.666,2.0,166121002#8,300,3,"(16, 62, 65)","(0, 13, 14)","(65, 99, 4, 71, 108, 111, 16, 17, 113, 47, 18, 62)","(144, 145, 16, 24, 33, 161, 168, 169, 170, 171, 172, 173, 175, 176, 177, 52, 53, 54, 55, 56, 185, 186, 187, 188, 189, 190, 191, 194, 197, 199, 74, 214, 245, 119, 250)"
202,6.94,1.388,1.0,297322125#6,360,3,"(61, 75, 100)","(5,)","(25, 75, 100, 61)","(100, 102, 231, 105, 202, 139, 107, 205, 203, 111, 204, 114, 116, 151, 252)"
238,9.72,0.7776,2.0,gneE32,420,3,"(3, 11, 14, 19, 31, 41, 67, 70, 102, 104, 106)","(8, 10)","(1, 67, 3, 70, 102, 104, 41, 106, 11, 12, 44, 14, 107, 50, 19, 26, 31)","(151, 163, 173, 46, 178, 52, 190, 192, 195, 197, 198, 199, 75, 76, 77, 226, 227, 228, 229, 103, 232, 231, 234, 238, 239, 241, 113, 243, 245, 246, 247, 248, 251, 252)"
55,11.11,1.9998,1.5,-166121762#3,480,3,"(4, 30, 47, 53, 82, 84, 97, 108, 111, 113, 116)","(0, 1, 27, 13)","(97, 65, 4, 71, 72, 108, 111, 16, 17, 113, 82, 84, 116, 53, 47, 30)","(16, 144, 20, 21, 22, 23, 24, 160, 33, 161, 169, 170, 171, 172, 173, 176, 52, 53, 54, 55, 56, 185, 57, 186, 187, 188, 189, 191, 190, 197, 74, 212, 213, 214, 215, 89, 90, 91, 92, 222, 97, 110, 239, 240, 241, 242, 243, 245, 119, 250)"
17,11.11,2.222,2.0,-141984443#7,540,3,"(24, 35, 36, 37, 38, 56, 79, 87, 112, 114, 117)","(18, 28, 7)","(0, 98, 56, 35, 37, 38, 36, 79, 112, 81, 114, 83, 117, 87, 119, 24, 90)","(129, 130, 131, 135, 136, 13, 14, 15, 16, 17, 18, 19, 33, 34, 35, 169, 42, 43, 44, 45, 47, 48, 49, 50, 183, 58, 59, 67, 72, 209, 83, 87, 91, 92, 97, 106)"
180,9.72,0.972,1.0,166121762#1,600,3,"(7, 58, 59, 91, 118)","(19, 4, 6)","(64, 33, 34, 68, 6, 7, 91, 15, 49, 118, 58, 59)","(143, 150, 151, 160, 179, 180, 181, 182, 183, 184, 56, 58, 59, 60, 61, 62, 63, 64, 74, 216, 217, 218, 219, 95, 224, 233, 237, 112, 113, 114, 115, 116, 118, 123)"
204,7.88,1.182,1.0,297322125#8,660,3,"(100,)","(5,)","(25, 75, 100, 61)","(100, 102, 231, 105, 202, 139, 107, 205, 203, 111, 204, 114, 116, 151, 252)"
