connection_from,connection_to
96,95
149,110
18,17
69,239
41,168
89,68
78,77
91,7
94,3
234,163
193,36
196,69
155,28
19,18
191,201
5,83
182,143
74,201
132,133
52,24
137,10
44,20
84,4
192,193
176,87
15,142
188,61
244,212
212,189
208,137
33,56
170,43
129,2
142,219
114,111
48,175
221,94
201,125
69,216
166,167
24,74
100,231
112,196
203,76
226,227
95,134
162,35
81,208
144,17
174,18
195,239
62,213
16,106
77,76
22,149
147,171
75,12
195,68
51,194
140,141
131,83
95,237
177,50
136,9
170,20
55,182
70,180
107,229
51,50
162,174
210,83
169,42
120,46
60,144
151,24
21,171
206,207
135,165
195,216
150,74
202,75
143,187
182,106
147,148
153,79
158,5
143,16
27,79
178,248
4,221
9,165
181,182
166,130
17,187
232,75
21,148
6,159
51,72
83,141
185,161
229,204
214,215
64,118
119,63
54,181
57,97
87,214
152,105
126,205
59,161
28,155
165,142
117,242
130,221
88,215
172,199
228,100
149,54
84,83
35,41
122,109
29,156
61,188
244,53
16,55
196,251
179,180
227,229
2,129
50,215
82,9
81,193
62,189
8,218
94,221
102,234
76,105
180,181
98,102
3,130
85,181
35,162
176,49
183,97
235,98
95,222
153,154
26,122
233,183
91,90
154,128
213,214
20,48
36,163
199,50
68,195
209,82
32,31
154,155
48,146
225,206
160,58
150,23
246,247
52,116
152,203
69,196
127,128
161,41
45,86
187,188
10,137
127,155
183,56
6,5
163,36
160,161
237,54
228,234
70,124
43,170
216,89
80,79
145,47
39,38
161,162
198,71
117,223
157,30
43,17
76,203
46,199
72,71
224,56
116,114
190,63
106,91
231,253
135,136
172,45
131,4
237,22
171,86
40,2
179,197
223,96
187,21
168,169
164,37
210,4
53,197
196,115
242,240
9,136
168,34
197,70
118,24
223,217
140,210
241,113
98,204
169,17
34,58
214,177
42,169
78,253
55,22
231,77
79,236
27,207
32,133
75,202
150,125
42,34
241,243
213,172
16,143
219,224
134,135
52,245
88,177
253,235
130,3
17,144
49,176
230,99
238,112
80,154
189,70
13,30
89,239
33,97
22,60
217,7
116,113
50,177
28,0
68,36
82,209
198,173
46,45
93,129
196,240
173,247
23,150
29,230
83,210
72,173
78,104
36,107
24,151
39,14
63,70
56,183
90,96
108,1
138,11
57,184
97,220
128,235
89,216
222,242
53,52
175,176
10,81
252,23
144,170
206,154
30,157
171,44
101,208
90,217
19,175
31,140
148,60
67,72
103,156
86,85
177,194
208,209
251,180
31,158
204,77
197,190
27,26
145,18
119,118
200,201
64,191
65,156
105,238
60,59
182,183
66,228
191,250
141,142
5,132
178,51
74,250
1,0
61,149
93,92
71,190
174,175
36,232
136,81
211,84
11,157
156,157
37,66
226,231
15,38
152,25
14,82
157,140
115,223
212,85
164,8
188,213
189,190
238,241
55,110
148,149
185,58
3,167
2,220
132,159
177,72
222,223
186,59
96,242
192,228
218,91
87,44
30,138
76,25
38,8
246,46
186,144
63,190
219,92
201,151
59,58
137,157
121,51
4,131
118,116
203,102
125,12
104,227
141,38
225,108
92,91
77,102
193,66
37,164
139,202
49,147
129,167
57,160
38,165
70,197
34,33
66,65
134,218
101,193
11,138
156,138
184,57
209,141
71,198
86,61
29,192
190,118
12,139
245,63
44,171
199,194
217,90
18,42
8,7
130,131
40,39
54,212
100,99
123,64
158,31
45,172
123,73
67,178
22,188
163,164
96,223
243,245
18,145
159,32
89,196
191,64
78,205
14,13
91,135
74,64
191,73
94,131
193,164
74,73
132,5
19,146
5,211
192,65
240,114
15,14
137,138
247,248
44,148
63,198
84,132
133,6
176,215
208,9
165,38
188,189
52,179
142,91
33,184
48,47
170,171
202,105
129,130
166,39
100,103
112,68
180,212
85,212
66,208
106,15
203,204
139,12
26,153
62,85
124,69
110,134
199,72
22,21
65,230
144,145
147,43
174,146
77,204
140,13
200,64
195,196
252,74
55,54
131,211
177,178
70,52
107,101
136,137
229,225
112,216
173,46
170,148
228,229
151,116
51,178
81,228
60,16
210,211
169,170
21,43
75,252
206,79
135,37
147,20
202,203
207,80
153,207
158,133
249,153
143,144
178,120
235,236
105,163
9,37
25,152
166,2
17,59
21,20
6,31
83,13
185,33
232,203
229,76
214,87
54,53
64,246
119,191
87,86
114,112
126,77
204,253
181,22
205,78
59,33
92,219
28,27
165,14
113,251
88,87
107,100
120,119
146,19
61,60
149,182
84,211
35,169
121,120
179,52
253,1
227,101
66,193
50,87
244,181
81,65
16,183
62,61
8,90
82,137
180,53
3,2
85,53
35,34
190,246
239,111
58,185
217,218
153,26
151,245
176,177
40,167
233,55
154,0
213,86
125,202
47,35
219,129
7,237
110,222
91,218
20,176
53,124
48,18
103,192
154,27
199,178
209,210
73,200
204,104
32,159
152,75
69,68
127,0
239,241
160,186
150,151
14,141
187,60
216,96
10,9
161,169
45,214
127,27
65,192
128,1
102,101
160,33
183,184
47,174
220,93
6,133
1,27
43,42
165,166
237,182
161,34
117,95
216,217
80,207
108,126
145,175
39,166
76,75
198,199
56,106
46,71
157,158
194,67
43,145
243,179
72,199
218,15
135,8
224,184
190,191
106,219
113,115
172,173
25,249
131,132
111,163
168,41
171,214
200,250
40,130
139,252
187,149
105,107
164,165
210,132
92,15
9,8
163,66
251,197
68,66
223,89
140,82
98,76
128,126
168,162
197,198
214,49
97,129
42,41
169,145
181,110
34,186
118,179
79,108
2,224
231,205
32,5
234,238
242,251
102,100
213,44
124,115
42,162
134,7
202,25
88,49
25,109
7,222
17,16
49,48
80,26
247,51
227,234
109,108
113,69
230,227
13,140
189,198
50,49
233,143
82,81
13,158
198,45
217,135
173,119
28,128
68,164
37,195
175,147
46,173
183,160
232,25
83,82
72,45
236,249
201,74
24,23
56,55
79,206
142,15
235,206
39,142
212,61
20,147
57,56
97,92
175,48
144,42
206,26
115,244
230,231
224,160
30,29
53,180
252,151
10,209
90,89
19,47
124,240
79,98
171,172
251,52
236,152
208,81
167,40
31,30
109,206
148,188
86,213
197,62
149,22
163,195
222,244
204,205
27,154
200,73
54,117
64,63
145,146
193,195
182,55
141,14
5,4
60,187
109,98
61,21
215,88
1,128
71,62
174,47
218,233
111,107
11,29
93,220
156,29
226,103
1,155
143,59
136,209
192,208
115,95
151,179
234,232
243,24
15,166
188,85
14,210
189,62
212,213
148,21
164,136
3,39
2,92
132,31
92,233
180,117
185,186
222,95
245,246
85,117
181,54
30,10
186,187
24,125
218,219
87,172
186,16
63,62
93,224
38,136
201,23
240,243
137,29
219,220
4,3
59,186
104,99
96,244
141,166
0,127
242,69
225,236
37,36
111,232
129,39
36,238
126,104
122,152
172,71
33,160
38,37
56,143
134,90
101,65
11,10
34,161
156,10
209,13
71,70
86,189
7,134
44,43
67,194
104,103
203,225
245,191
18,170
8,135
179,124
45,44
142,233
77,225
158,159
67,50
123,201
