segment_id,segment_numLanes,segment_speed,segment_length
-119086807#2,1,5.56,825.82
-119086807#3,1,9.89,410.85
-119086808#1,2,8.33,431.3
-119086808#2,2,9.72,339.55
-119086808#3,2,9.72,425.06
-119086808#4,2,8.33,456.52
-119086808#5,2,5.56,641.95
-119086811#1,2,6.94,353.06
-119086811#2,2,9.0,431.73
-119086811#3,1,9.72,720.85
-119086811#4,1,6.95,454.42
-119086811#5,2,5.56,625.34
-141984425#4,1,5.56,632.72
-141984443#0,2,8.33,456.3
-141984443#1,3,6.94,728.03
-141984443#2,3,9.0,431.48
-141984443#6,3,11.11,670.23
-141984443#7,3,11.11,642.95
-141984443#8,3,11.11,488.7
-141984443#9,1,5.56,692.21
-141984577#4,1,6.94,491.22
-141984577#5,1,6.94,652.38
-141984577#6,1,8.33,634.51
-154183759#2,2,8.33,739.67
-154183759#3,4,11.11,600.86
-165960871#4,3,9.72,632.12
-165966991#2,1,9.72,732.74
-165966991#3,1,6.94,470.18
-165966991#4,1,5.56,725.22
-165966993#1,2,11.11,756.32
-165966993#2,3,6.94,494.16
-165966993#3,2,9.72,526.34
-165966993#4,1,5.56,707.62
-165966995#2,3,11.11,656.76
-165966995#3,1,8.33,643.12
-165966995#4,1,8.33,489.44
-165966996#0,3,9.72,467.43
-165966996#1,3,11.11,707.45
-165966996#2,3,11.11,500.42
-165966996#3,3,9.72,518.81
-165966996#4,1,5.56,715.1
-166121002#4,1,9.72,714.24
-166121002#5,3,11.11,568.67
-166121002#6,2,8.33,599.07
-166121002#7,1,9.72,549.54
-166121002#8,2,8.33,500.45
-166121002#9,1,6.94,493.47
-166121004#5,3,8.33,590.72
-166121004#6,2,8.33,602.36
-166121004#7,3,7.28,448.39
-166121004#8,1,8.33,502.34
-166121004#9,1,6.89,497.16
-166121762#0,4,9.72,573.8
-166121762#1,4,9.88,510.38
-166121762#2,4,9.81,536.56
-166121762#3,4,11.11,534.77
-166121762#4,4,11.11,544.68
-166121762#5,2,8.33,723.64
-166121763#4,2,9.72,810.97
-166121763#5,3,9.72,563.49
-166121763#6,1,8.33,596.82
-166121763#7,1,6.94,520.86
-166121763#8,1,8.33,598.17
-166121763#9,2,8.9,577.32
-166122625#0,1,9.0,517.92
-297322123#0,1,7.22,459.83
-297322123#1,1,6.94,719.41
-297322123#10,1,5.56,699.84
-297322123#2,1,8.33,452.05
-297322123#3,1,8.33,356.96
-297322123#7,1,9.72,630.22
-297322123#8,1,6.94,648.84
-297322123#9,1,8.33,499.58
-297322125#1,1,5.56,759.03
-297322125#2,1,6.94,630.76
-297322125#6,2,6.94,465.17
-297322125#7,1,11.11,720.81
-297322125#8,1,7.88,467.71
-297322125#9,1,5.89,816.73
-297322725#4,1,9.89,410.94
-297322725#5,1,5.56,724.22
-297322727#1,3,8.33,719.88
-297322727#2,1,8.33,493.68
-297322727#3,1,9.72,521.74
-297322727#4,1,5.56,710.11
-297323726#1,1,9.72,634.03
-297323726#2,1,8.33,552.22
-297323726#3,1,8.33,493.82
-297323726#4,1,5.56,592.96
-543999840#1,1,9.72,495.39
-543999840#2,1,6.94,347.96
-543999840#3,1,13.89,490.93
-543999840#4,1,9.22,486.92
-543999840#5,1,6.94,711.48
-544244203,1,6.68,712.04
-556375581#0,1,7.56,346.55
-556375582#2,1,8.33,354.71
-gneE1,3,11.11,857.98
-gneE10,1,9.72,635.47
-gneE11,2,5.56,817.33
-gneE12,4,11.11,458.61
-gneE14,1,8.33,494.52
-gneE15,2,9.72,517.48
-gneE16,3,11.11,489.45
-gneE17,2,9.72,523.92
-gneE19,3,8.33,539.68
-gneE2,3,11.11,830.0
-gneE20,4,11.11,723.44
-gneE27,1,8.89,468.21
-gneE28,1,9.72,722.62
-gneE3,1,8.5,513.55
-gneE32,4,9.72,438.47
-gneE33,1,9.72,496.69
-gneE34,1,9.72,488.63
-gneE36,4,11.11,357.54
-gneE38,1,8.5,494.01
-gneE39,4,11.11,591.03
-gneE4,1,6.94,500.32
-gneE40,4,11.11,629.61
-gneE41,4,10.0,652.02
-gneE42,4,11.11,515.23
-gneE43,2,5.56,558.01
-gneE46,3,8.33,411.22
-gneE47,2,6.94,622.92
-gneE5,2,8.33,516.97
-gneE7,3,13.89,836.75
-gneE9,2,8.33,635.71
119086807#2,1,5.56,825.82
119086807#3,1,9.89,410.85
119086808#1,2,8.33,431.3
119086808#2,2,9.72,339.55
119086808#3,2,9.72,425.06
119086808#4,2,8.33,456.52
119086808#5,2,5.56,641.95
119086811#1,2,6.94,353.06
119086811#2,2,9.0,431.73
119086811#3,1,9.72,720.85
119086811#4,1,6.94,454.42
119086811#5,2,5.56,625.34
141984425#4,1,5.56,632.72
141984443#0,2,8.33,456.3
141984443#1,3,6.94,728.03
141984443#2,3,9.0,431.48
141984443#6,3,11.11,670.23
141984443#7,3,11.11,642.95
141984443#8,3,11.11,488.7
141984443#9,1,5.56,692.21
141984577#4,1,6.94,491.22
141984577#5,1,6.94,652.38
141984577#6,1,8.33,634.51
154183759#2,2,8.33,739.67
154183759#3,4,11.11,600.86
165960871#4,3,9.72,632.12
165966991#2,1,9.72,732.74
165966991#3,1,6.94,470.18
165966991#4,1,5.56,725.22
165966993#1,2,11.11,756.32
165966993#2,3,6.94,494.16
165966993#3,2,9.72,526.34
165966993#4,1,5.56,707.62
165966995#2,3,11.11,656.76
165966995#3,1,8.33,643.12
165966995#4,1,8.33,489.44
165966996#0,3,9.72,467.43
165966996#1,3,11.11,707.45
165966996#2,3,11.11,500.42
165966996#3,3,9.72,518.81
165966996#4,1,5.56,715.1
166121002#4,1,9.72,714.24
166121002#5,3,11.11,568.67
166121002#6,2,8.33,599.07
166121002#7,1,9.72,549.54
166121002#8,2,8.33,500.45
166121002#9,1,9.64,493.47
166121004#5,3,8.33,590.72
166121004#6,2,8.33,602.36
166121004#7,3,7.28,448.39
166121004#8,1,8.33,502.34
166121004#9,1,6.89,497.16
166121762#0,4,9.72,573.8
166121762#1,4,9.72,510.38
166121762#2,4,9.81,536.56
166121762#3,4,11.11,534.77
166121762#4,4,11.11,544.68
166121762#5,2,8.33,723.64
166121763#4,2,9.72,810.97
166121763#5,3,9.72,563.49
166121763#6,1,8.33,596.82
166121763#7,1,6.94,520.86
166121763#8,1,8.33,598.17
166121763#9,2,8.9,577.32
166122625#0,1,9.0,517.92
297322123#0,1,7.22,459.83
297322123#1,1,6.94,719.41
297322123#10,1,5.56,699.84
297322123#2,1,8.33,452.05
297322123#3,1,8.33,356.96
297322123#7,1,9.72,630.22
297322123#8,1,6.94,648.84
297322123#9,1,8.33,499.58
297322125#1,1,5.56,759.03
297322125#2,1,6.94,630.76
297322125#6,2,6.94,465.17
297322125#7,1,11.11,720.81
297322125#8,1,7.88,467.71
297322125#9,1,5.89,816.73
297322725#4,1,9.89,410.94
297322725#5,1,5.56,724.22
297322727#1,3,8.33,719.88
297322727#2,1,8.33,493.68
297322727#3,1,9.72,521.74
297322727#4,1,5.56,710.11
297323726#1,1,9.72,634.03
297323726#2,1,8.33,552.22
297323726#3,1,8.33,493.82
297323726#4,1,5.56,592.96
543999840#1,1,9.72,495.39
543999840#2,1,6.94,347.96
543999840#3,1,13.89,490.93
543999840#4,1,9.22,486.92
543999840#5,1,6.94,711.48
544244203,1,6.68,712.04
556375581#0,1,7.56,346.55
556375582#2,1,8.33,354.71
gneE1,3,11.11,857.98
gneE10,1,9.72,635.47
gneE11,2,5.56,817.33
gneE12,4,11.11,458.61
gneE14,1,8.33,494.52
gneE15,2,9.72,517.48
gneE16,3,11.11,489.45
gneE17,2,9.72,523.92
gneE19,3,8.33,539.68
gneE2,3,11.11,830.0
gneE20,4,11.11,723.44
gneE27,1,8.89,468.21
gneE28,1,9.72,722.62
gneE3,1,8.5,513.55
gneE32,4,9.72,438.47
gneE33,1,9.72,496.69
gneE34,1,9.72,488.63
gneE36,4,11.11,357.54
gneE38,1,8.5,494.01
gneE39,4,11.11,591.03
gneE4,1,6.94,500.32
gneE40,4,11.11,629.61
gneE41,4,10.0,652.02
gneE42,4,11.11,515.23
gneE43,2,5.56,558.01
gneE46,3,8.33,411.22
gneE47,2,6.94,622.92
gneE5,2,8.33,516.97
gneE7,3,13.89,836.75
gneE9,2,8.33,635.71
