connection_from,connection_to
0,1
0,9
0,10
1,10
1,0
1,2
1,9
1,11
2,11
2,1
2,3
2,10
2,12
3,12
3,2
3,4
3,11
3,13
4,13
4,3
4,5
4,12
4,14
5,14
5,4
5,6
5,13
5,15
6,15
6,5
6,7
6,14
6,16
7,16
7,6
7,8
7,15
7,17
8,7
8,17
8,16
9,0
9,18
9,10
9,1
9,19
10,1
10,19
10,9
10,11
10,0
10,18
10,2
10,20
11,2
11,20
11,10
11,12
11,1
11,19
11,3
11,21
12,3
12,21
12,11
12,13
12,2
12,20
12,4
12,22
13,4
13,22
13,12
13,14
13,3
13,21
13,5
13,23
14,5
14,23
14,13
14,15
14,4
14,22
14,6
14,24
15,6
15,24
15,14
15,16
15,5
15,23
15,7
15,25
16,7
16,25
16,15
16,17
16,6
16,24
16,8
16,26
17,8
17,26
17,16
17,7
17,25
18,9
18,27
18,19
18,10
18,28
19,10
19,28
19,18
19,20
19,9
19,27
19,11
19,29
20,11
20,29
20,19
20,21
20,10
20,28
20,12
20,30
21,12
21,30
21,20
21,22
21,11
21,29
21,13
21,31
22,13
22,31
22,21
22,23
22,12
22,30
22,14
22,32
23,14
23,32
23,22
23,24
23,13
23,31
23,15
23,33
24,15
24,33
24,23
24,25
24,14
24,32
24,16
24,34
25,16
25,34
25,24
25,26
25,15
25,33
25,17
25,35
26,17
26,35
26,25
26,16
26,34
27,18
27,36
27,28
27,19
27,37
28,19
28,37
28,27
28,29
28,18
28,36
28,20
28,38
29,20
29,38
29,28
29,30
29,19
29,37
29,21
29,39
30,21
30,39
30,29
30,31
30,20
30,38
30,22
30,40
31,22
31,40
31,30
31,32
31,21
31,39
31,23
31,41
32,23
32,41
32,31
32,33
32,22
32,40
32,24
32,42
33,24
33,42
33,32
33,34
33,23
33,41
33,25
33,43
34,25
34,43
34,33
34,35
34,24
34,42
34,26
34,44
35,26
35,44
35,34
35,25
35,43
36,27
36,45
36,37
36,28
36,46
37,28
37,46
37,36
37,38
37,27
37,45
37,29
37,47
38,29
38,47
38,37
38,39
38,28
38,46
38,30
38,48
39,30
39,48
39,38
39,40
39,29
39,47
39,31
39,49
40,31
40,49
40,39
40,41
40,30
40,48
40,32
40,50
41,32
41,50
41,40
41,42
41,31
41,49
41,33
41,51
42,33
42,51
42,41
42,43
42,32
42,50
42,34
42,52
43,34
43,52
43,42
43,44
43,33
43,51
43,35
43,53
44,35
44,53
44,43
44,34
44,52
45,36
45,54
45,46
45,37
45,55
46,37
46,55
46,45
46,47
46,36
46,54
46,38
46,56
47,38
47,56
47,46
47,48
47,37
47,55
47,39
47,57
48,39
48,57
48,47
48,49
48,38
48,56
48,40
48,58
49,40
49,58
49,48
49,50
49,39
49,57
49,41
49,59
50,41
50,59
50,49
50,51
50,40
50,58
50,42
50,60
51,42
51,60
51,50
51,52
51,41
51,59
51,43
51,61
52,43
52,61
52,51
52,53
52,42
52,60
52,44
52,62
53,44
53,62
53,52
53,43
53,61
54,45
54,63
54,55
54,46
54,64
55,46
55,64
55,54
55,56
55,45
55,63
55,47
55,65
56,47
56,65
56,55
56,57
56,46
56,64
56,48
56,66
57,48
57,66
57,56
57,58
57,47
57,65
57,49
57,67
58,49
58,67
58,57
58,59
58,48
58,66
58,50
58,68
59,50
59,68
59,58
59,60
59,49
59,67
59,51
59,69
60,51
60,69
60,59
60,61
60,50
60,68
60,52
60,70
61,52
61,70
61,60
61,62
61,51
61,69
61,53
61,71
62,53
62,71
62,61
62,52
62,70
63,54
63,72
63,64
63,55
63,73
64,55
64,73
64,63
64,65
64,54
64,72
64,56
64,74
65,56
65,74
65,64
65,66
65,55
65,73
65,57
65,75
66,57
66,75
66,65
66,67
66,56
66,74
66,58
66,76
67,58
67,76
67,66
67,68
67,57
67,75
67,59
67,77
68,59
68,77
68,67
68,69
68,58
68,76
68,60
68,78
69,60
69,78
69,68
69,70
69,59
69,77
69,61
69,79
70,61
70,79
70,69
70,71
70,60
70,78
70,62
70,80
71,62
71,80
71,70
71,61
71,79
72,73
72,63
72,64
73,64
73,72
73,74
73,63
73,65
74,65
74,73
74,75
74,64
74,66
75,66
75,74
75,76
75,65
75,67
76,67
76,75
76,77
76,66
76,68
77,68
77,76
77,78
77,67
77,69
78,69
78,77
78,79
78,68
78,70
79,70
79,78
79,80
79,69
79,71
80,79
80,71
80,70
